case,serial_id,A,B,C,A_error,B_error,C_error
true-b-double,1,7.000000000000005,0.5,-0.5920000000000007,5.329070518200751e-15,0.0,-7.771561172376096e-16
true-b-double,2,6.0,0.5,0.24400000000000052,0.0,0.0,5.273559366969494e-16
true-b-double,3,5.999999999999997,0.5,0.5589999999999986,-2.6645352591003757e-15,0.0,-1.4432899320127035e-15
true-b-double,4,7.999999999999992,0.5,-0.6649999999999993,-7.993605777301127e-15,0.0,7.771561172376096e-16
true-b-double,5,6.000000000000002,0.5,-0.2740000000000003,1.7763568394002505e-15,0.0,-2.7755575615628914e-16
true-b-double,6,5.999999999999995,0.5,0.07300000000000041,-5.329070518200751e-15,0.0,4.163336342344337e-16
true-b-double,7,16.0,0.5,-0.14099999999999988,0.0,0.0,1.1102230246251565e-16
true-b-double,8,6.0000000000000036,0.5,-0.0700000000000001,3.552713678800501e-15,0.0,-9.71445146547012e-17
true-b-double,9,6.999999999999997,0.5,-0.5889999999999977,-2.6645352591003757e-15,0.0,2.220446049250313e-15
true-b-double,10,5.999999999999986,0.5,0.23500000000000013,-1.4210854715202004e-14,0.0,1.3877787807814457e-16
true-b-double,11,5.99999999999999,0.5,0.5590000000000009,-9.769962616701378e-15,0.0,8.881784197001252e-16
true-b-double,12,8.000000000000002,0.5,-0.6559999999999999,1.7763568394002505e-15,0.0,1.1102230246251565e-16
true-b-double,13,5.999999999999994,0.5,-0.15599999999999936,-6.217248937900877e-15,0.0,6.38378239159465e-16
true-b-double,14,6.000000000000003,0.5,0.0069999999999987225,2.6645352591003757e-15,0.0,-1.2776238400569184e-15
true-b-double,15,6.0,0.5,-0.20400000000000001,0.0,0.0,-2.7755575615628914e-17
true-b-double,16,6.000000000000006,0.5,-0.20499999999999913,6.217248937900877e-15,0.0,8.604228440844963e-16
true-b-double,17,6.000000000000008,0.5,-0.17699999999999927,7.993605777301127e-15,0.0,7.216449660063518e-16
true-b-double,18,5.9999999999999885,0.5,-0.1790000000000009,-1.1546319456101628e-14,0.0,-9.159339953157541e-16
true-b-double,19,6.000000000000006,0.5,-0.18200000000000016,6.217248937900877e-15,0.0,-1.6653345369377348e-16
true-b-double,20,7.000000000000007,0.5,-0.5900000000000031,7.105427357601002e-15,0.0,-3.1086244689504383e-15
true-b-double,21,5.999999999999981,0.5,0.24000000000000238,-1.865174681370263e-14,0.0,2.3869795029440866e-15
true-b-double,22,6.000000000000004,0.5,0.5580000000000003,4.440892098500626e-15,0.0,2.220446049250313e-16
true-b-double,23,7.999999999999988,0.5,-0.6580000000000003,-1.2434497875801753e-14,0.0,-2.220446049250313e-16
true-b-double,24,6.000000000000002,0.5,-0.21500000000000014,1.7763568394002505e-15,0.0,-1.3877787807814457e-16
true-b-double,25,5.999999999999981,0.5,-0.18999999999999978,-1.865174681370263e-14,0.0,2.220446049250313e-16
true-b-double,26,6.000000000000009,0.5,0.11600000000000174,8.881784197001252e-15,0.0,1.734723475976807e-15
true-b-double,27,6.999999999999994,0.5,-0.6040000000000012,-6.217248937900877e-15,0.0,-1.2212453270876722e-15
true-b-double,28,6.00000000000004,0.5,0.9009999999999967,3.9968028886505635e-14,0.0,-3.3306690738754696e-15
true-b-double,29,7.00000000000002,0.5,-0.9080000000000016,2.042810365310288e-14,0.0,-1.5543122344752192e-15
true-b-double,30,7.00000000000003,0.5,-0.905999999999998,3.019806626980426e-14,0.0,1.9984014443252818e-15
true-b-double,31,6.999999999999992,0.5,-0.5839999999999993,-7.993605777301127e-15,0.0,6.661338147750939e-16
true-b-double,32,6.000000000000002,0.5,0.23499999999999868,1.7763568394002505e-15,0.0,-1.304512053934559e-15
true-b-double,33,6.0000000000000115,0.5,0.5630000000000007,1.1546319456101628e-14,0.0,7.771561172376096e-16
true-b-double,34,7.999999999999996,0.5,-0.6629999999999993,-4.440892098500626e-15,0.0,7.771561172376096e-16
true-b-double,35,6.000000000000001,0.5,-0.15299999999999944,8.881784197001252e-16,0.0,5.551115123125783e-16
true-b-double,36,6.000000000000013,0.5,0.021999999999999454,1.3322676295501878e-14,0.0,-5.447031714567174e-16
true-b-double,37,6.999999999999979,0.5,-0.2959999999999989,-2.1316282072803006e-14,0.0,1.1102230246251565e-15
true-b-double,38,6.000000000000007,0.5,-0.18200000000000022,7.105427357601002e-15,0.0,-2.220446049250313e-16
true-b-double,39,6.000000000000021,0.5,-0.012000000000000514,2.1316282072803006e-14,0.0,-5.134781488891349e-16
true-b-double,40,6.9999999999999885,0.5,-0.22499999999999962,-1.1546319456101628e-14,0.0,3.885780586188048e-16
true-b-double,41,7.000000000000038,0.5,-0.5680000000000017,3.8191672047105385e-14,0.0,-1.7763568394002505e-15
true-b-double,42,5.999999999999994,0.5,0.2459999999999981,-6.217248937900877e-15,0.0,-1.887379141862766e-15
true-b-double,43,5.999999999999974,0.5,0.5700000000000038,-2.5757174171303632e-14,0.0,3.885780586188048e-15
true-b-double,44,8.000000000000027,0.5,-0.6730000000000023,2.6645352591003757e-14,0.0,-2.220446049250313e-15
true-b-double,45,6.000000000000004,0.5,-0.2759999999999999,4.440892098500626e-15,0.0,1.1102230246251565e-16
true-b-double,46,5.999999999999968,0.5,0.7040000000000025,-3.197442310920451e-14,0.0,2.55351295663786e-15
true-b-double,47,8.000000000000016,0.5,-0.7710000000000011,1.5987211554602254e-14,0.0,-1.1102230246251565e-15
true-b-double,48,8.000000000000009,0.5,-0.7610000000000017,8.881784197001252e-15,0.0,-1.6653345369377348e-15
true-b-double,49,7.000000000000015,0.5,-0.5750000000000018,1.509903313490213e-14,0.0,-1.887379141862766e-15
true-b-double,50,6.000000000000019,0.5,0.23400000000000137,1.865174681370263e-14,0.0,1.3600232051658168e-15
true-b-double,51,6.000000000000014,0.5,0.5679999999999975,1.4210854715202004e-14,0.0,-2.4424906541753444e-15
true-b-double,52,7.999999999999967,0.5,-0.680999999999997,-3.2862601528904634e-14,0.0,2.9976021664879227e-15
true-b-double,53,5.999999999999992,0.5,-0.20699999999999935,-7.993605777301127e-15,0.0,6.38378239159465e-16
true-b-double,54,5.999999999999971,0.5,-0.22299999999999984,-2.930988785010413e-14,0.0,1.6653345369377348e-16
true-b-double,55,6.000000000000033,0.5,0.6929999999999991,3.2862601528904634e-14,0.0,-8.881784197001252e-16
true-b-double,56,8.000000000000002,0.5,-0.7720000000000026,1.7763568394002505e-15,0.0,-2.55351295663786e-15
true-b-double,57,7.999999999999988,0.5,-0.7639999999999982,-1.2434497875801753e-14,0.0,1.7763568394002505e-15
true-b-double,58,7.00000000000003,0.5,-0.5850000000000014,3.019806626980426e-14,0.0,-1.4432899320127035e-15
true-b-double,59,5.999999999999997,0.5,0.23799999999999874,-2.6645352591003757e-15,0.0,-1.2490009027033011e-15
true-b-double,60,6.000000000000022,0.5,0.5609999999999964,2.220446049250313e-14,0.0,-3.6637359812630166e-15
true-b-double,61,7.999999999999996,0.5,-0.6519999999999961,-4.440892098500626e-15,0.0,3.885780586188048e-15
true-b-double,62,6.000000000000007,0.5,-0.21399999999999927,7.105427357601002e-15,0.0,7.216449660063518e-16
true-b-double,63,5.999999999999991,0.5,-0.16399999999999995,-8.881784197001252e-15,0.0,5.551115123125783e-17
true-b-double,64,6.000000000000018,0.5,-0.19100000000000036,1.7763568394002505e-14,0.0,-3.608224830031759e-16
true-b-double,65,6.000000000000005,0.5,0.037000000000000054,5.329070518200751e-15,0.0,5.551115123125783e-17
true-b-double,66,7.000000000000002,0.5,-0.3979999999999998,1.7763568394002505e-15,0.0,2.220446049250313e-16
true-b-double,67,7.0000000000000115,0.5,-0.5789999999999974,1.1546319456101628e-14,0.0,2.55351295663786e-15
true-b-double,68,6.000000000000003,0.5,0.19299999999999704,2.6645352591003757e-15,0.0,-2.9698465908722937e-15
true-b-double,69,5.999999999999981,0.5,0.5670000000000037,-1.865174681370263e-14,0.0,3.774758283725532e-15
true-b-double,70,8.000000000000034,0.5,-0.6710000000000065,3.375077994860476e-14,0.0,-6.439293542825908e-15
true-b-double,71,5.999999999999994,0.5,0.07900000000000072,-6.217248937900877e-15,0.0,7.216449660063518e-16
true-b-double,72,7.999999999999983,0.5,-0.48899999999999827,-1.687538997430238e-14,0.0,1.7208456881689926e-15
true-b-double,73,7.00000000000002,0.5,-0.5730000000000002,2.042810365310288e-14,0.0,-2.220446049250313e-16
true-b-double,74,5.999999999999969,0.5,0.1690000000000019,-3.108624468950438e-14,0.0,1.887379141862766e-15
true-b-double,75,6.000000000000003,0.5,0.5650000000000003,2.6645352591003757e-15,0.0,3.3306690738754696e-16
true-b-double,76,8.000000000000021,0.5,-0.6590000000000016,2.1316282072803006e-14,0.0,-1.5543122344752192e-15
true-b-double,77,5.999999999999979,0.5,0.23200000000000226,-2.1316282072803006e-14,0.0,2.248201624865942e-15
true-b-double,78,8.000000000000004,0.5,-0.4940000000000005,3.552713678800501e-15,0.0,-4.996003610813204e-16
true-b-double,79,5.999999999999989,0.5,-0.4130000000000005,-1.0658141036401503e-14,0.0,-4.996003610813204e-16
true-b-double,80,6.99999999999997,0.5,-0.5860000000000012,-3.019806626980426e-14,0.0,-1.2212453270876722e-15
true-b-double,81,6.000000000000004,0.5,0.2350000000000039,4.440892098500626e-15,0.0,3.913536161803677e-15
true-b-double,82,5.999999999999978,0.5,0.560999999999996,-2.220446049250313e-14,0.0,-4.107825191113079e-15
true-b-double,83,8.000000000000046,0.5,-0.6620000000000001,4.618527782440651e-14,0.0,-1.1102230246251565e-16
true-b-double,84,5.999999999999962,0.5,-0.14799999999999885,-3.8191672047105385e-14,0.0,1.1379786002407855e-15
true-b-double,85,6.0000000000000036,0.5,-0.043999999999998964,3.552713678800501e-15,0.0,1.033895191682177e-15
true-b-double,86,6.000000000000018,0.5,-0.1819999999999999,1.7763568394002505e-14,0.0,8.326672684688674e-17
true-b-double,87,6.000000000000018,0.5,-0.18200000000000335,1.7763568394002505e-14,0.0,-3.3584246494910985e-15
true-b-double,88,6.000000000000033,0.5,-0.33399999999999946,3.2862601528904634e-14,0.0,5.551115123125783e-16
true-b-double,89,6.000000000000012,0.5,-0.3449999999999965,1.2434497875801753e-14,0.0,3.497202527569243e-15
true-b-double,90,6.000000000000012,0.5,0.40299999999999453,1.2434497875801753e-14,0.0,-5.495603971894525e-15
true-b-double,91,8.000000000000007,0.5,-0.5679999999999983,7.105427357601002e-15,0.0,1.6653345369377348e-15
true-b-double,92,7.000000000000035,0.5,-0.5889999999999974,3.4638958368304884e-14,0.0,2.55351295663786e-15
true-b-double,93,5.9999999999999805,0.5,0.2329999999999976,-1.9539925233402755e-14,0.0,-2.4147350785597155e-15
true-b-double,94,5.999999999999986,0.5,0.565000000000001,-1.4210854715202004e-14,0.0,9.992007221626409e-16
true-b-double,95,7.999999999999986,0.5,-0.6689999999999983,-1.4210854715202004e-14,0.0,1.7763568394002505e-15
true-b-double,96,5.999999999999991,0.5,-0.13299999999999768,-8.881784197001252e-15,0.0,2.3314683517128287e-15
true-b-double,97,6.000000000000006,0.5,-0.1750000000000009,6.217248937900877e-15,0.0,-9.159339953157541e-16
true-b-double,98,5.999999999999983,0.5,-0.08299999999999996,-1.687538997430238e-14,0.0,4.163336342344337e-17
true-b-double,99,5.999999999999977,0.5,0.012999999999999989,-2.3092638912203256e-14,0.0,-1.0408340855860843e-17
true-b-double,100,7.000000000000014,0.5,-0.3099999999999999,1.4210854715202004e-14,0.0,1.1102230246251565e-16
true-b-double,101,6.000000000000016,0.5,0.19500000000000084,1.5987211554602254e-14,0.0,8.326672684688674e-16
true-b-double,102,6.000000000000015,0.5,-0.23000000000000032,1.509903313490213e-14,0.0,-3.0531133177191805e-16
true-b-double,103,5.999999999999991,0.5,-0.268000000000001,-8.881784197001252e-15,0.0,-9.992007221626409e-16
true-b-double,104,5.999999999999997,0.5,-0.21300000000000066,-2.6645352591003757e-15,0.0,-6.661338147750939e-16
true-b-double,105,6.0000000000000036,0.5,-0.18999999999999911,3.552713678800501e-15,0.0,8.881784197001252e-16
true-b-double,106,6.9999999999999565,0.5,-0.5850000000000006,-4.3520742565306136e-14,0.0,-6.661338147750939e-16
