serial_id,weakest,second,third
1,-0.6979438561562078,-0.009142138871523221,-0.051024036985838427
2,-0.01779925032680281,0.071771484932552351,0.069100610737115584
3,0.0076035770787703776,-0.012104842187281325,-0.021674159214569815
4,0.71582019414421194,-0.012680136244141894,-0.043623965993335886
5,-0.0054522828411948856,-0.0033167862054785573,-0.0087249214030686775
6,0.0028691912143658537,-0.0081186485427684561,0.0079069184553156816
7,0.0019435783093697239,0.93083636013149318,0.3089662545329131
8,-0.0058248994786822524,-0.15788614520936345,0.02204341229757277
9,0.0031896721581937781,0.06636485788552042,0.01234496123871723
10,-0.0038496954277763523,-0.29996396151460097,0.93983411519153448
11,-5.29374078623703e-05,0.088731319307801593,-0.086520608796160067
12,0.00072941746502636702,-0.027216996073533412,0.056901262619710583
